Code,Name,Fullname,Sector
AVI,A-V-I,AVI LTD,3577
ANH,ABINBEV,ANHEUSER-BUSCH INBEV SA NV,3533
ABG,ABSAG,ABSA GROUP LIMITED,8355
APF,ACCELERAT,ACCELERATE PROP FUND LTD,8672
AIP,ADCOCK,ADCOCK INGRAM HLGS LD,4577
ADH,ADVTECH,ADVTECH LIMITED,5377
AFE,AECI,A E C I LIMITED,1357
AFT,AFRIMAT,AFRIMAT LTD,2353
ACT,AFRO-C,AFROCENTRIC INV CORP LTD,4533
AFX,AFROX,AFRICAN OXYGEN LTD,1357
AFH,ALEXANDER,ALEXANDER FORBES GRP HLDGS,8985
AEL,ALTRON,ALLIED ELECTRONICS CORP A,9533
ANG,ANGGOLD,ANGLOGOLD ASHANTI LIMITED,1777
AGL,ANGLO,ANGLO AMERICAN PLC,1775
AMS,ANGLOPLAT,ANGLO AMERICAN PLATINUM CORPORATION LIMITED,1779
AIL,ARCINVEST,AFRICAN RAINBOW CAP INV,8775
ACL,ARCMITTAL,ARCELORMITTAL SA LTD,1757
ARI,ARM,AFRICAN RAINBOW MINERALS,1775
AWA,ARROW-A,ARROWHEAD PROP LTD A,8671
ASC,ASCENDIS,ASCENDIS HEALTH LTD,4577
APN,ASPEN,ASPEN PHARMACARE HLDGS,4577
ASR,ASSORE,ASSORE LTD,1775
ARL,ASTRAL,ASTRAL FOODS,3573
ATT,ATT,ATTACQ LIMITED,8633
BAW,BARWORLD,BARLOWORLD LIMITED,2727
BTI,BATS,BRITISH AM. TOBACCO PLC,3785
BID,BIDCORP,BID CORPORATION LTD,3577
BVT,BIDVEST,THE BIDVEST GROUP LIMITED,2727
BHP,BILLITON,BHP GROUP PLC,1775
BLU,BLUETEL,BLUE LABEL TELECOMS LTD,6575
BAT,BRAIT,BRAIT S E,8777
BRN,BRIMST-N,BRIMSTONE INVESTMENT CORPORATION LIMITED,8985
CCO,CAPCO,CAPITAL & COUNTIES PROP PLC,8633
CPI,CAPITEC,CAPITEC,8355
CTK,CARTRACK,CARTRACK HOLDINGS LTD,2791
CSB,CASHBIL,CASHBUILD LIMITED,5375
CLH,CITYLDG,CITY LODGE HOTELS LIMITED,5753
CLS,CLICKS,CLICKS GROUP LTD,5337
CLR,CLOVER,CLOVER INDUSTRIES LTD,3577
CML,CML,CORONATION FUND MANAGERS LIMITED,8771
COH,CURRO,CURRO HOLDINGS LIMITED,5377
DTC,DATATEC,DATATEC LIMITED,9533
DLT,DELPROP,DELTA PROPERTY FUND LTD,8633
DCP,DIS-CHEM,DIS-CHEM PHARMACIES LTD,5337
DSY,DISCOVERY,DISCOVERY HOLDINGS LIMITED,8575
DGH,DISTELLG,DISTELL GROUP HLDGS LTD,3535
EMI,EMIRA,EMIRA PROPERTY FUND,8637
EOH,EOH,EOH LTD,9533
EQU,EQUITES,EQUITES PROP FUND LTD,8671
EXX,EXXARO,EXXARO RESOURCES LIMITED,1771
FBR,FAMBRANDS,FAMOUS BRANDS LTD,5757
FSR,FIRSTRAND,FIRSTRAND LIMITED,8355
FFA,FORTRESSA,FORTRESS INCOME FUND LTD,8674
FFB,FORTRESSB,FORTRESS REIT LIMITED,8637
GFI,GFIELDS,GOLD FIELDS LIMITED,1777
GLN,GLENCORE,GLENCORE XSTRATA PLC,1775
GND,GRINDROD,GRINDROD LIMITED,2773
GRT,GROWPNT,GROWTHPOINT PROPERTIES LIMITED,8674
HMN,HAMMERSON,HAMMERSON PLC,8672
HAR,HARMONY,HARMONY GOLD MINING COMPANY LIMITED,1777
HCI,HCI,HOSKEN CONSOLIDATED INVESTMENTS LIMITED,8775
HPB,HOSP-B,HOSPITALITY PROP FUND B,8675
HDC,HUDACO,HUDACO INDUSTRIES LIMITED,2757
HYP,HYPROP,HYPROP INVESTMENTS LIMITED,8672
IAP,IAPF,INVESTEC AUSTRALIA PROP FD,8633
IPL,IMPERIAL,IMPERIAL HOLDINGS LTD,2777
IMP,IMPLATS,IMPALA PLATINUM HOLDINGS LIMITED,1779
ITU,INTUPROP,INTUPROP,8637
IVT,INVICTA,INVICTA HOLDINGS LIMITED,2757
INL,INVLTD,INVESTEC LIMITED,8777
INP,INVPLC,INVESTEC PLC,8777
IPF,INVPROP,INVESTEC PROPERTY FUND LTD,8674
ITE,ITLTILE,ITALTILE LTD,5375
JSE,JSE,JSE LTD,8777
KAP,KAP,KAP INDUSTRIAL HLDGS,2727
KIO,KUMBAIO,KUMBA IRON ORE LTD,1757
LEW,LEWIS,LEWIS GROUP LIMITED,5375
LBH,LIB-HOLD,LIBERTY HOLDINGS LTD ORD,8575
L2D,LIBERTY2D,LIBERTY TWO DEGREES,8674
