ch,title,link
1,Company valuation methods,http://ssrn.com/abstract=274973 
2,Cash flow is a fact. Net income is just an opinion,http://ssrn.com/abstract=330540 
3,Ten badly explained topics in most corporate finance books,http://ssrn.com/abstract=2044576 
4,"Cash flow valuation methods: perpetuities, constant growth and general case",http://ssrn.com/abstract=743229 
5,Valuation using multiples: how do analysts reach their conclusions?,http://ssrn.com/abstract=274972 
6,Valuing companies by cash flow discounting: ten methods and nine theories,http://ssrn.com/abstract=256987 
7,Three residual income valuation methods and discounted cash flow valuation,http://ssrn.com/abstract=296945 
8,"WACC: definition, misconceptions and errors",http://ssrn.com/abstract=1620871 
9,Cash flow discounting: fundamental relationships and unnecessary complications,http://ssrn.com/abstract=2117765 
10,How to value a seasonal company discounting cash flows,http://ssrn.com/abstract=406220 
11,Optimal capital structure: problems with the Harvard and Damodaran approaches,http://ssrn.com/abstract=270833 
12,"Equity premium: historical, expected, required and implied",http://ssrn.com/abstract=933070 
13,The equity premium in 150 textbooks,http://ssrn.com/abstract=1473225 
14,"Market risk premium used in 82 countries in 2012: a survey with 7,192 answers",http://ssrn.com/abstract=2084213 
15,Are calculated betas good for anything?,http://ssrn.com/abstract=504565 
16,Beta = 1 does a better job than calculated betas,http://ssrn.com/abstract=1406923 
17,"Betas used by professors: a survey with 2,500 answers",http://ssrn.com/abstract=1407464 
18,On the instability of betas: the case of Spain,http://ssrn.com/abstract=510146 
19,Valuation of the shares after an expropriation: the case of ElectraBul,http://ssrn.com/abstract=2191044 
20,A solution to Valuation of the shares after an expropriation: the case of ElectraBul,http://ssrn.com/abstract=2217604
21,Valuation of an expropriated company: the case of YPF and Repsol in Argentina,http://ssrn.com/abstract=2176728 
22,"1,959 valuations of the YPF shares expropriated to Repsol",http://ssrn.com/abstract=2226321 
23,Internet valuations: the case of Terra-Lycos,http://ssrn.com/abstract=265608 
24,Valuation of Internet-related companies,http://ssrn.com/abstract=265609 
25,Valuation of brands and intellectual capital,http://ssrn.com/abstract=270688 
26,Interest rates and company valuation,http://ssrn.com/abstract=2215926 
27,"Price to earnings ratio, value to book ratio and growth",http://ssrn.com/abstract=2212373 
28,Dividends and share repurchases,http://ssrn.com/abstract=2215739 
29,How inflation destroys value,http://ssrn.com/abstract=2215796 
30,Valuing real options: frequently made errors,http://ssrn.com/abstract=274855 
31,119 common errors in company valuations,http://ssrn.com/abstract=1025424 
32,Shareholder value creation: a definition,http://ssrn.com/abstract=268129 
33,Shareholder value creators in the S&P 500: 1991 – 2010,http://ssrn.com/abstract=1759353 
34,EVA and ‘cash value added’ do NOT measure shareholder value creation,http://ssrn.com/abstract=270799 
35,"All-shareholder return, all-period returns and total index return",http://ssrn.com/abstract=2358444 
36,339 questions on valuation and finance,http://ssrn.com/abstract=2357432 
37,CAPM: an absurd model,http://ssrn.com/abstract=2505597 
38,CAPM: the model and 305 comments about it,http://ssrn.com/abstract=2523870 
39,Value of tax shields (VTS): 3 theories with “some” common sense,http://ssrn.com/abstract=2549005 
40,Expected and Required returns: very different concepts,http://ssrn.com/abstract=2591319 
41,RF and Market Risk Premium Used for 41 Countries in 2015: A Survey,http://ssrn.com/abstract=2598104 
42,RF and MRP used by analysts in USA and Europe in 2015,http://ssrn.com/abstract=2684740 
43,Meaning of the P&L and of the Balance Sheet: Madera Inc,http://ssrn.com/abstract=2671748 
44,"Net Income, cash flows, reduced balance sheet and WCR",http://ssrn.com/abstract=2675274 
45,Meaning of Net Income and Shareholders’ Equity,http://ssrn.com/abstract=2676802  
